country;city;lat;lon
Morocco;Rabat;34.0209;-6.8416
Brazil ;BrazilC;-14.235;-51.9253
Brazil ;Florianópolis;-27.5935;-48.55854
Malaysia;Sarawak;1.5533;110.3592
Belgium;Brujes;51.20889;3.22417
Ghana;Accra;5.614818;-0.205874
Mexico;Aguascalientes;21.8853;-102.2916
Nepal;Dhulikhel;27.6226;85.5423
Chile ;Santiago de Chile ;-33.4489;-70.6693
USA;USAc;39.8283;-98.5795
USA;Orlando;28.5383;-81.3792
USA;New York;40.712776;-74.005974
Poland;Warsaw;52.2297;21.0122
the Netherlands;Amsterdam;52.367573;4.904139
the Netherlands;Deventer;52.255;6.1639
Singapore;Singapore;1.3521;103.8198
Australia;AustraliaC;-25.2744;133.7751
Australia;Canberra;-35.2809;149.13
France;Paris;46.6034;1.8883
Spain;;40.4637;-3.7492
Argentina;;-34;-64
Germany;;51.1657;10.4515
Nigeria ;;9.082;8.6753
Sweden;;60.1282;18.6435
Finland;;64;26
Democratic Republic of Congo;;-4.0383;21.7587
Kenya;;-1.2921;36.8219
Barbados;;13.1939;-59.5432
Republica Dominicana;;18.7357;-70.1627
Trinidad And Tobago;;10.6918;-61.2225
Chad;;15.4542;18.7322
Rwanda;;-1.9403;29.8739
Egypt;;26.8206;30.8025
Armenia;;40.0691;45.0382
Indonesia;;-0.7893;113.9213
Fiji;;-17.7134;178.065
Sri Lanka;;7.8731;80.7718
Kingdom of Saudi Arabia ;;23.8859;45.0792
China;;35.8617;103
Online;Online;28.68;-40.65
United Kingdom;;55.3781;-3.436
-;-;28.68;-40.65
Slovenia;;46.1512;14.9955
Latvia;;56.8796;24.6032
Sierra Leone;;8.4606;-11.7799
