speakers;name;country_s;agency_s
52;Abdullah Kara;-;
59;Ali Alawaji;Kingdom of Saudi Arabia ;
1;Amalia Velasco;Spain;Direccion General del Catastro España
66;Anka Lisec;Slovenia;University of Ljubljana
43;Aram Gugarats;Armenia;
44;Aulia Latif;Indonesia;
71;Aurélia Decherf;France;IGN France
73;Bénédicte Bucher;France;IGN France
30;Brandon Tourtelotte, ;USA;
47;Brent Jones;USA;ESRI
45;Chalemyan Trdat;Armenia;
27;Charisse Griffith-Charles;Trinidad And Tobago;
48;Ching Tuan Yee;Singapore;Urban Redevelopment Authority
50;Chris Body;Australia;International Organization for Standardization Technical Committee 211
33;Christelle van den Berg;the Netherlands ;Kadaster
51;Christiaan Lemmen;the Netherlands ;
32;Claudia Stöcker;Germany;
18;Claudio Martínez Topete;Mexico;INEGI
46;Committee of Experts on Global Geospatial Information Management;-;
58;Cristian Araneda Hernandez;Chile;
35;Dina Naguib;Egypt;
37;Divyani Kohli ;the Netherlands ;
69;Elisabeth Leblanc;France;IGN France
10;Eva-Maria Unger ;the Netherlands ;Kadaster
65;Expert Group;-;
67;Frédéric Cantat;France;IGN France
22;Ganesh Prasad Bhatta;Nepal;
40;Haico Van der Vegt;the Netherlands ;
15;Hellen Ndungu;Kenya;UN-Habitat - GLTN
42;Indra Hutabarat;Indonesia;
56;Ingrid van de Berghe;Belgium;
6;Israel Taiwo;Nigeria ;
24;Janak Raj Joshi;Nepal;MoLMCPA
26;Jean-Philippe Lestang;France;IGN France
8;Joep Crompvoets;Belgium;
16;John Gitau;Kenya;UN-Habitat - GLTN
34;Kaspar Kundert;Rwanda;
28;Katie Pickett ;USA;
4;Kean Huat Soon;Singapore;Singapore Land Authority
29;Kees de Zeeuw;the Netherlands ;Kadaster International / Co-chair UN GGIM Expert Group
11;Kirsikka Riekkinen;Finland;AALTO UNIVERSITY
17;Leandre Murrell-Forde;Barbados;The Lands and Survey Department
60;Liao Rong;China;
61;Liu Yong;China;
7;Magdalena Andersson;Sweden;THE SWEDISH MAPPING
31;Mahamat Abdoulaye Malloum;Chad;
14;Mamadou Mballo;Democratic Republic of Congo;UN-Habitat - GLTN
2;Mario Piumetto;Argentina;Universidad de Córdoba
21;Markku Markkula;Finland;National Land Survey of Finland
3;Markus Koper;Germany;Trimble
49;Meizyanne Hicks;Fiji;Ministry of Lands and Mineral Resources
25;Mikael Lilje;Sweden;Swedish Mapping (Lantmäteriet)
38;Mila Koeva;the Netherlands ;
54;Mohamed Rafeek;Sri Lanka;Survey Department
75;Nick Land;United Kingdom;ESRI
12;Oluwafemi Adekola;Finland;AALTO UNIVERSITY
13;Opeyemi Michael Ajayi;Finland;AALTO UNIVERSITY
55;Paula Dijkstra;the Netherlands ;Kadaster International
53;Peter van Oosterom;the Netherlands ;
19;Raffaella Anilio Olguín;Chile;SNIT-IDE, Ministerio de Bienes Nacionales, UN-GGIM Américas
23;Raja Ram Chhatkuli ;Nepal;
20;Ridomil Alejandro Rojas Ferreyra;Republica Dominicana;Dirección Nacional de Mensuras Catastrales, Registro Inmobiliario
9;Rohan Bennett;Australia;Chair FIG Commission 7
74;Romain Vialle;France;IGN France
41;Suren Tovmasyan;Armenia;
64;Teo Chee Hai;-;UN-GGIM Expert Group on Land Administration and Management
63;Trevor Benn;-;UN-GGIM Expert Group on Land Administration and Management
70;Vents Priedoliņš;Latvia;State Land Service of Latvia
5;Victor Khoo;Singapore;Singapore Land Authority
39;Vincent Verheij;the Netherlands ;
62;Zhong Taiyang;China;
36;Jobo Samba;Sierra Leone;Land Avisor at Sierra Leone Land Administration Project
57;Mario Cruz;Mexico;INEGI
68;Regina Orvananos;Mexico;ONU Habitat
72;Kholoud Saad Salama;Egypt;
